smiles_std,Molecule ID,IC50_uM_FP2,n_measurements,Label_FP2,IC50_uM_PF,Label_PF
C#CCOc1ccc(/C=C/C(=O)c2ccc(OC)c(OC)c2OC)cc1,CHEMBL597017,100.0,1.0,0,,
C#CCOc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,CHEMBL589510,100.0,1.0,0,,
C#CCOc1ccc(/C=C/C(=O)c2ccc(OC)cc2OC)cc1,CHEMBL602103,100.0,1.0,0,,
C#CCOc1ccc(C(=O)/C=C/c2ccc(OC)c(OC)c2OC)cc1,CHEMBL592303,100.0,1.0,0,,
C#CCOc1ccc(C(=O)/C=C/c2ccc(OC)cc2)cc1,CHEMBL606235,100.0,1.0,0,,
C#CCOc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)cc1,CHEMBL592268,100.0,1.0,0,,
C#CCOc1cccc(/C=C/C(=O)c2ccc(OC)c(OC)c2OC)c1,CHEMBL597626,19.0,1.0,0,,
C#CCOc1cccc(/C=C/C(=O)c2ccc(OC)cc2)c1,CHEMBL597624,100.0,1.0,0,,
C#CCOc1cccc(/C=C/C(=O)c2ccc(OC)cc2OC)c1,CHEMBL597625,100.0,1.0,0,,
C#CCOc1cccc(C(=O)/C=C/c2ccc(OC)c(OC)c2OC)c1,CHEMBL589904,100.0,1.0,0,,
C#CCOc1cccc(C(=O)/C=C/c2ccc(OC)cc2)c1,CHEMBL596611,100.0,1.0,0,,
C#CCOc1cccc(C(=O)/C=C/c2ccc(OC)cc2OC)c1,CHEMBL589903,100.0,1.0,0,,
C#CCOc1ccccc1/C=C/C(=O)c1ccc(OC)c(OC)c1OC,CHEMBL597896,100.0,1.0,0,,
C#CCOc1ccccc1/C=C/C(=O)c1ccc(OC)cc1,CHEMBL597892,100.0,1.0,0,,
C#CCOc1ccccc1/C=C/C(=O)c1ccc(OC)cc1OC,CHEMBL589509,100.0,1.0,0,,
C#CCOc1ccccc1C(=O)/C=C/c1ccc(OC)c(OC)c1OC,CHEMBL596610,100.0,1.0,0,,
C#CCOc1ccccc1C(=O)/C=C/c1ccc(OC)cc1,CHEMBL597219,100.0,1.0,0,,
C#CCOc1ccccc1C(=O)/C=C/c1ccc(OC)cc1OC,CHEMBL597220,100.0,1.0,0,,
C(=C\c1cn(-c2ccccc2)nc1-c1ccccc1)/c1nnc(-c2c[nH]c3ccccc23)o1,CHEMBL5421969,7.0,1.0,0,,
C(=C\c1cn(-c2ccccc2)nc1-c1ccccc1)/c1nnc(-c2ccco2)o1,CHEMBL5424180,14.0,1.0,0,,
C/C(=N/N=C(/N)S)c1cccc(/C(C)=N/N=C(/N)S)n1,CHEMBL325549,20.0,1.0,0,,
C/C(=N\N=C(/S)N1CCN(C)CC1)c1cccc(Br)c1,CHEMBL326220,20.0,1.0,0,,
C/C(=N\N=C(\N)S)c1ccc(-c2ccccc2)cc1,CHEMBL323975,10.0,1.0,0,,
C/C(=N\N=C(\N)S)c1ccc(Nc2ccccc2)cc1,CHEMBL107612,20.0,1.0,0,,
C/C(=N\NC(N)=S)c1ccccn1,CHEMBL416771,20.0,1.0,0,,
C/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1c(O)c2ccccc2oc1=O,CHEMBL222322,3.9,1.0,1,,
C/C(CC(=O)c1ccc(Br)cc1)=N\NC(=S)NCCCNc1ccnc2cc(Cl)ccc12,CHEMBL399032,20.0,1.0,0,,
C/C(CC(=O)c1ccc(Br)cc1)=N\NC(=S)NCCNc1ccnc2cc(Cl)ccc12,CHEMBL250155,12.932,1.0,0,,
C/C(CC(=O)c1ccc(Cl)c(Cl)c1)=N\NC(=S)NCCCNc1ccnc2cc(Cl)ccc12,CHEMBL398828,20.0,1.0,0,,
C/C(CC(=O)c1ccc(Cl)c(Cl)c1)=N\NC(=S)NCCNc1ccnc2cc(Cl)ccc12,CHEMBL250154,4.416,1.0,1,,
C=C(/C=C/[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)N1C(=O)C=C(OC)[C@@H]1C(C)C,Gallinamide_A_Analog_20,0.00952,,1,0.0908,1.0
C=C(/C=C/[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)N1C(=O)C=C(OC)[C@@H]1Cc1c[nH]c2ccccc12,Gallinamide_A_Analog_22,0.012,,1,0.0063,1.0
C=C(/C=C/[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)N1C(=O)C=C(OC)[C@@H]1Cc1ccc(O)cc1,Gallinamide_A_Analog_21,0.00525,,1,0.01335,1.0
C=C(/C=C/[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)N1C(=O)C=C(OCc2ccccc2)[C@@H]1C(C)C,Gallinamide_A_Analog_24,0.00686,,1,0.062,1.0
