chembl_id,smiles,activity_uM,Label,molecular_weight
CHEMBL117767,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1-c1ccccc1,9.2,0,327.38
CHEMBL118355,Cc1cc(Cl)cc2c(/N=N/C(=N)S)c(O)[nH]c12,9.4,0,268.73
CHEMBL120254,NC(=S)/N=N/c1c(O)[nH]c2ccc([N+](=O)[O-])cc12,4.4,0,265.25
CHEMBL1215628,CC(C)CN(NC(=O)c1ccc(CN2CCN(C)CC2)cc1)c1nc(C#N)ncc1Br,0.0006,1,486.42
CHEMBL1302947,O=C(Cn1nnc(-c2ccccc2)n1)NNC(=O)c1ccco1,6.67,0,312.29
CHEMBL1584095,Cc1cc(NC(=O)Cn2nnc(-c3ccccc3NC(=O)c3ccccc3F)n2)no1,6.67,0,421.39
CHEMBL181504,CCCC/C(=N\NC(N)=S)c1ccc(Cl)c(Cl)c1,0.62,1,304.25
CHEMBL181752,N/C(S)=N/N=C(\C=C\c1ccccc1)c1ccc(Cl)c(Cl)c1,0.47,1,350.27
CHEMBL182790,N/C(S)=N/N=C(\COc1ccccc1)c1ccc(Cl)c(Cl)c1,0.375,1,354.26
CHEMBL182795,Cc1ccc(/C(=N\N=C(\N)S)c2ccc(Cl)c(Cl)c2)cc1,1.8,0,338.26
CHEMBL183005,N/C(S)=N/N=C(\CCc1ccccc1)c1ccc(Cl)c(Cl)c1,2.6,0,352.29
CHEMBL183396,N/C(S)=N/N=C(/c1ccc(Cl)c(Cl)c1)C1CC1c1ccccc1,0.64,1,364.3
CHEMBL183767,N/C(S)=N/N=C(\Cc1ccccc1)c1ccc(Cl)c(Cl)c1,8.4,0,338.26
CHEMBL191457,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccccc2)cc1,6.4,0,376.84
CHEMBL191640,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccc(F)cc2F)cc1,2.6,0,412.82
CHEMBL192149,COc1cc(/C=C/C(=O)c2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2)cc(OC)c1OC,1.8,0,466.92
CHEMBL1939368,CCc1nnc(NC(=O)CCc2ccc(S(=O)(=O)Nc3ccc(F)cc3)cc2)s1,6.65,0,434.52
CHEMBL194821,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)cc1,6.3,0,411.29
CHEMBL195381,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccc3c(c2)OCO3)cc1,6.25,0,420.85
CHEMBL195822,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccc(Cl)cc2Cl)cc1,2.5,0,445.73
CHEMBL203649,O=S(=O)(c1ccc(-c2ccc(S(=O)(=O)N3CCOCC3)s2)s1)N1CCOCC1,5.4,0,464.61
CHEMBL203801,Cc1cccc(NC(=O)Cn2c(O)c(/N=N/C(=O)C(=O)NCc3ccccc3)c3ccccc32)c1,1.6,0,469.5
CHEMBL203802,Cc1ccc(S(=O)(=O)N(C)C)cc1NS(=O)(=O)c1ccc(-c2ccon2)s1,2.9,0,427.53
CHEMBL203823,CCCc1cc(O)nc(SCC(=O)NCCSCc2ccco2)n1,4.6,0,367.5
CHEMBL203856,Cn1c(O)c(/N=N/C(=O)CCCCC(=O)/N=N/c2c(O)n(C)c3ccccc23)c2ccccc21,6.5,0,460.49
CHEMBL204344,CCCS(=O)(=O)c1cscc1NC(=O)CSCCS(=O)(=O)c1ccc(Cl)cc1,3.4,0,482.07
CHEMBL207102,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,9.53,0,576.99
CHEMBL207117,COc1ccc(NC(=O)OC[C@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)N[C@H]3CC(=O)OC3O)C2=O)cc1,8.79,0,572.57
CHEMBL209147,Cc1cc(Cl)ccc1NC(=O)OC[C@H]1N=C(c2ccccc2)c2ccccc2N(CC(=O)N[C@H]2CC(=O)OC2O)C1=O,8.25,0,591.02
CHEMBL221833,Cc1cccc(NC(=O)CCC(=O)N/N=C/c2cc(Cl)ccc2O)c1,7.5,0,359.81
CHEMBL221991,O=C(NCc1ccc(/C=c2/sc3n(c2=O)CCN=3)o1)C(=O)Nc1ccccc1,6.2,0,396.43
CHEMBL222322,C/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1c(O)c2ccccc2oc1=O,3.9,0,372.4
CHEMBL222325,Oc1cccc(/C=N\c2cccc3c(/N=C/c4cccc(O)c4O)cccc23)c1O,4.6,0,398.42
CHEMBL222870,Oc1ccc(/C=N/c2ccc(/N=C/c3ccc(O)cc3O)c(Cl)c2)c(O)c1,2.1,0,382.8
CHEMBL222871,O=C(N/N=C/c1ccc(/C=N/NC(=O)c2ccccc2O)cc1)c1ccccc1O,2.2,0,402.41
CHEMBL2235029,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2cccc(C)c2n1,2.28,0,557.69
CHEMBL2235030,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2ccc(Cl)c(C)c2n1,0.21,1,592.14
CHEMBL2235031,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2cc(Cl)ccc2n1,0.15,1,578.11
CHEMBL2235032,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2c(Cl)ccc(C)c2n1,0.39,1,592.14
CHEMBL2235033,CCc1cccc2c(N/N=C/c3ccc(O[C@H]4O[C@@H]5O[C@@]6(C)CC[C@H]7[C@H](C)CC[C@@H]([C@H]4C)[C@@]57OO6)cc3)cc(C)nc12,0.52,1,571.72
CHEMBL2235034,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2cccc(F)c2n1,0.28,1,561.65
CHEMBL2235035,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2cc(F)ccc2n1,0.67,1,561.65
CHEMBL2235036,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2ccccc2n1,0.89,1,543.66
CHEMBL2235037,COc1ccc2nc(C)cc(N/N=C/c3ccc(O[C@H]4O[C@@H]5O[C@@]6(C)CC[C@H]7[C@H](C)CC[C@@H]([C@H]4C)[C@@]57OO6)cc3)c2c1,0.29,1,573.69
CHEMBL2235038,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2cc(Br)ccc2n1,0.26,1,
CHEMBL2235039,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2ccc(Cl)cc2n1,0.17,1,578.11
CHEMBL2235040,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2ccc(C)c(C)c2n1,0.84,1,571.72
CHEMBL2235041,Cc1ccc2nc(C)cc(N/N=C/c3ccc(O[C@H]4O[C@@H]5O[C@@]6(C)CC[C@H]7[C@H](C)CC[C@@H]([C@H]4C)[C@@]57OO6)cc3)c2c1,0.78,1,557.69
CHEMBL223654,O=C(NCCNc1ccnc2cc(Cl)ccc12)N/N=C/c1ccc(O)c(CN2CCCC2)c1O,1.07,0,482.97
CHEMBL224025,O=C(NCCNc1ccnc2cc(Cl)ccc12)N/N=C/c1ccc(O)c(CN2CCN(c3ccnc4cc(Cl)ccc34)CC2)c1O,0.077,1,
CHEMBL224312,NC(=S)N/N=C/c1ccc(O)c(CN2CCN(c3ccnc4cc(Cl)ccc34)CC2)c1O,2.25,0,470.99
CHEMBL224801,O=C(O)c1ccccc1N/N=C/c1ccc(/C=N/Nc2ccccc2C(=O)O)cc1,1.0,0,402.41
CHEMBL224803,O=C(CSc1nnnn1-c1ccccc1)Nc1ccc(-n2cnnn2)cc1,7.5,0,379.41
CHEMBL224893,NC(=S)N/N=C/c1ccc(O)c(CN2CCCC2)c1O,7.925,0,294.38
CHEMBL225184,CN1CCN(Cc2c(O)ccc(/C=N/NC(N)=S)c2O)CC1,14.11,0,
