InChIKey,SMILES,Nombre,PubChem_CID,Ki_nM_min,IC50_nm,Fuentes,n_registros_originales,Label
AAKWBPVWMKFRNF-UHFFFAOYSA-N,CC(CC(=O)c1ccc(Cl)c(Cl)c1)=NNC(=S)NCCNc1ccnc2cc(Cl)ccc12 |w:13.14|,"(E)-4-(2-(7-chloroquinolin-4-ylamino)ethyl)-1-(4-(3,4-dichlorophenyl)-4-oxobutan-2-ylidene)thiosemicarbazide::CHEMBL250154",44444723.0,,4416.0,BindingDB;PubChem,2,0
AAKWBPVWMKFRNF-VFLNYLIXSA-N,C/C(CC(=O)c1ccc(Cl)c(Cl)c1)=N\NC(=S)NCCNc1ccnc2cc(Cl)ccc12,CHEMBL250154,,,4416.0,ChEMBL,1,0
AAXDVUNMOGQFSB-UHFFFAOYSA-N,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)C5=CC=C(C=C5)C=NNC(=O)NC6=CC=C(C=C6)F)C,"[(1R,4S,5R,8S,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl] 4-[(E)-[(4-fluorophenyl)carbamoylhydrazinylidene]methyl]benzoate",172456988.0,,650.0,PubChem,1,1
AAXDVUNMOGQFSB-XXBJQPIASA-N,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)c3ccc(\C=N\NC(=O)Nc4ccc(F)cc4)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,CHEMBL5420927,172456988.0,,650.0,BindingDB;ChEMBL,2,1
ACRKWQYZGFUJME-UHFFFAOYSA-N,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC5=CC=C(C=C5)C=NNC6=C7C=C(C=CC7=NC(=C6)C)F)C,"6-fluoro-2-methyl-N-[(E)-[4-[[(1R,4S,5R,8S,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl]oxy]phenyl]methylideneamino]quinolin-4-amine",76322471.0,,670.0,PubChem,1,1
ACRKWQYZGFUJME-YTJKISDPSA-N,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(\C=N\Nc4cc(C)nc5ccc(F)cc45)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4 |r|,CHEMBL2235035,76322471.0,,670.0,BindingDB;ChEMBL,2,1
ADCQBGUGXNHEEI-FMIVXFBMSA-N,C#CCOc1ccccc1/C=C/C(=O)c1ccc(OC)cc1OC,CHEMBL589509,,,100000.0,ChEMBL,1,0
ADCQBGUGXNHEEI-UHFFFAOYSA-N,COC1=CC(=C(C=C1)C(=O)C=CC2=CC=CC=C2OCC#C)OC,"(E)-1-(2,4-dimethoxyphenyl)-3-(2-prop-2-ynoxyphenyl)prop-2-en-1-one",46231303.0,,100000.0,PubChem,1,0
ADFZRLCDZTVZRL-NSOVKSMOSA-N,CC(=O)OCC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](CCc1ccccc1)NC(=O)OCc1ccccc1,CHEMBL3120843,,,29670.0,ChEMBL,1,0
ADFZRLCDZTVZRL-UHFFFAOYSA-N,CC(=O)OCC(=O)C(CCC1=CC=CC=C1)NC(=O)C(CCC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3,[(3S)-2-oxo-5-phenyl-3-[[(2S)-4-phenyl-2-(phenylmethoxycarbonylamino)butanoyl]amino]pentyl] acetate,76325309.0,,29670.0,PubChem,1,0
ADJWHZIVAYREMY-IPPBACCNSA-N,CCN(CC)Cc1c(O)ccc(/C=N/NC(=O)NCCNc2ccnc3cc(Cl)ccc23)c1O,CHEMBL225449,,,2600.0,ChEMBL,1,0
ADJWHZIVAYREMY-UHFFFAOYSA-N,CCN(CC)Cc1c(O)ccc(C=NNC(=O)NCCNc2ccnc3cc(Cl)ccc23)c1O |w:12.11|,"1-{2-[(7-chloroquinolin-4-yl)amino]ethyl}-3-[(E)-({3-[(diethylamino)methyl]-2,4-dihydroxyphenyl}methylidene)amino]urea::4-aminoquinoline semicarbazone derivative, 8a",24825656.0,,2600.0,BindingDB;PubChem,2,0
AEABAQFUEQKRPG-KNRWOZJTSA-N,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1C[C@@H](O[C@H]2O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@@]35OO4)CN1C(=O)OCc1ccccc1,CHEMBL4870203,,,100000.0,ChEMBL,1,0
